NOC,Bronze,Gold,No Medals,Silver,Total Participations,"('Weight', 'mean')","('Weight', 'max')","('Weight', 'min')","('Height', 'mean')","('Height', 'max')","('Height', 'min')","('Sex', '<lambda>')",Sports_with_Medals,Total_Olympics,Total_Medal,Total_Sports
AFG,2.0,0.0,122.0,0.0,124,67.78629032258064,90.0,48.0,175.99193548387098,186.0,156.0,0.9596774193548387,1.0,14,7,7
AHO,0.0,0.0,67.0,1.0,68,72.78676470588235,89.0,52.0,178.4264705882353,193.0,163.0,0.8382352941176471,1.0,14,12,12
ALB,0.0,0.0,55.0,0.0,55,67.44727272727273,86.0,52.0,173.47272727272727,195.0,159.0,0.6,0.0,11,8,8
ALG,8.0,5.0,503.0,4.0,520,67.64884615384615,90.0,48.0,175.0596153846154,194.0,155.0,0.8307692307692308,3.0,16,22,22
AND,0.0,0.0,160.0,0.0,160,70.53625,90.0,49.0,175.0,189.0,160.0,0.74375,0.0,22,12,12
ANG,0.0,0.0,217.0,0.0,217,69.10783410138248,90.0,50.0,175.2258064516129,195.0,155.0,0.4470046082949309,0.0,9,10,10
ANT,0.0,0.0,131.0,0.0,131,66.53587786259543,80.0,49.0,175.70229007633588,190.0,155.0,0.7175572519083969,0.0,10,6,6
ANZ,5.0,20.0,57.0,4.0,86,70.63372093023256,85.0,62.0,179.01162790697674,189.0,167.0,0.9767441860465116,5.0,2,8,8
ARG,68.0,73.0,2572.0,83.0,2796,70.72610872675251,90.0,47.0,176.6434191702432,195.0,155.0,0.7846924177396281,16.0,42,41,41
ARM,7.0,1.0,180.0,2.0,190,68.35,90.0,48.0,171.32105263157894,193.0,157.0,0.8210526315789474,3.0,12,18,18
ARU,0.0,0.0,39.0,0.0,39,68.45384615384614,90.0,49.0,172.6153846153846,191.0,158.0,0.5897435897435898,0.0,8,9,9
ASA,0.0,0.0,23.0,0.0,23,73.29130434782608,89.5,59.0,176.7391304347826,180.0,163.0,0.8260869565217391,0.0,8,7,7
AUS,450.0,312.0,5298.0,388.0,6448,69.95406327543424,90.0,47.0,176.35530397022333,195.0,155.0,0.6198821339950372,31.0,46,51,51
AUT,145.0,103.0,4034.0,170.0,4452,71.02747079964061,90.0,47.0,177.70238095238096,195.0,155.0,0.7616801437556154,30.0,50,46,46
AZE,14.0,4.0,198.0,9.0,225,66.2991111111111,90.0,47.0,171.69333333333333,192.0,156.0,0.7555555555555555,6.0,11,20,20
BAH,11.0,12.0,286.0,11.0,320,70.8103125,90.0,47.0,176.734375,194.0,155.0,0.7,1.0,16,8,8
BAN,0.0,0.0,51.0,0.0,51,63.9,84.0,50.0,168.90196078431373,180.0,157.0,0.803921568627451,0.0,9,6,6
BAR,1.0,0.0,197.0,0.0,198,71.01262626262626,87.0,50.0,176.8939393939394,193.0,155.0,0.803030303030303,1.0,12,11,11
BDI,0.0,1.0,34.0,1.0,36,59.94444444444444,77.0,48.0,173.16666666666666,184.0,155.0,0.6666666666666666,1.0,6,3,3
